,isolate,host,isolation_source,collection_date,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,experiment_id,SRA_id
SRR23056012,wastewater,SARS-CoV-2,environmental,2022-06-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056012,SRX19009446
SRR23056014,wastewater,SARS-CoV-2,environmental,2022-06-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mallathahalli",12.9620 N 77.4980 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056014,SRX19009444
SRR23056015,wastewater,SARS-CoV-2,environmental,2022-06-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Doddabelee 2 (40MLD)",12.8900 N 77.4726 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056015,SRX19009443
SRR23056016,wastewater,SARS-CoV-2,environmental,2022-06-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056016,SRX19009442
SRR23056017,wastewater,SARS-CoV-2,environmental,2022-06-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabanavara",13.3959 N 76.1914 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056017,SRX19009377
SRR23056089,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056089,SRX19009369
SRR23056082,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabegur",12.8867 N 77.6386 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056082,SRX19009376
SRR23056088,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056088,SRX19009370
SRR23056084,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hulimavu",12.8718 N 77.6022 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056084,SRX19009374
SRR23056085,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Sarakki",12.8994 N 77.5799 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056085,SRX19009373
SRR23056087,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kadabeesanahalli Ph-I",12.9394 N 77.6952 E,viral single amplified genome (vSAG),ultracentrifugation,500000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056087,SRX19009371
SRR23056086,wastewater,SARS-CoV-2,environmental,2022-06-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,V. Valley",12.9358 N 77.5206 E,viral single amplified genome (vSAG),ultracentrifugation,1800000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056086,SRX19009372
SRR23056090,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Agaram",12.9580 N 77.6308 E,viral single amplified genome (vSAG),ultracentrifugation,350000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056090,SRX19009368
SRR23056091,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 2 (60MLD)",12.940295 N 77.65492 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056091,SRX19009367
SRR23056092,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 1 (248MLD)",12.942076 N 77.654299 E,viral single amplified genome (vSAG),ultracentrifugation,2480000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056092,SRX19009366
SRR23056093,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Horamavu Agara",13.0411 N 77.6622 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056093,SRX19009365
SRR23056095,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K R Puram",13.0170 N 77.7044 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056095,SRX19009363
SRR23056096,wastewater,SARS-CoV-2,environmental,2022-06-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yele Mallappa Chetti Kere",13.021769 N 77.719837 E,viral single amplified genome (vSAG),ultracentrifugation,150000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056096,SRX19009362
SRR23056097,wastewater,SARS-CoV-2,environmental,2022-06-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056097,SRX19009361
SRR23056098,wastewater,SARS-CoV-2,environmental,2022-06-17,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mallathahalli",12.9620 N 77.4980 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056098,SRX19009360
SRR23056099,wastewater,SARS-CoV-2,environmental,2022-06-17,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056099,SRX19009359
SRR23056101,wastewater,SARS-CoV-2,environmental,2022-06-16,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hulimavu",12.8718 N 77.6022 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056101,SRX19009357
SRR23056103,wastewater,SARS-CoV-2,environmental,2022-06-16,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056103,SRX19009355
SRR23056100,wastewater,SARS-CoV-2,environmental,2022-06-16,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabegur",12.8867 N 77.6386 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056100,SRX19009358
SRR23056102,wastewater,SARS-CoV-2,environmental,2022-06-16,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056102,SRX19009356
SRR23056104,wastewater,SARS-CoV-2,environmental,2022-06-15,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Agaram",12.9580 N 77.6308 E,viral single amplified genome (vSAG),ultracentrifugation,350000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056104,SRX19009354
SRR23056106,wastewater,SARS-CoV-2,environmental,2022-06-15,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 2 (60MLD)",12.940295 N 77.65492 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056106,SRX19009352
SRR23056107,wastewater,SARS-CoV-2,environmental,2022-06-14,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Lalbagh",12.9507 N 77.5848 E,viral single amplified genome (vSAG),ultracentrifugation,15000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056107,SRX19009351
SRR23056108,wastewater,SARS-CoV-2,environmental,2022-06-14,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056108,SRX19009350
SRR23056109,wastewater,SARS-CoV-2,environmental,2022-06-14,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056109,SRX19009349
SRR23056111,wastewater,SARS-CoV-2,environmental,2022-06-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabanavara",13.3959 N 76.1914 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056111,SRX19009347
SRR23056110,wastewater,SARS-CoV-2,environmental,2022-06-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Nagasandra",13.0395 N 77.5000 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056110,SRX19009348
SRR23056113,wastewater,SARS-CoV-2,environmental,2022-06-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056113,SRX19009506
SRR23056112,wastewater,SARS-CoV-2,environmental,2022-06-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056112,SRX19009346
SRR23055952,wastewater,SARS-CoV-2,environmental,2022-06-10,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Jakkur",13.0631 N 77.6207 E,viral single amplified genome (vSAG),ultracentrifugation,150000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055952,SRX19009505
SRR23055956,wastewater,SARS-CoV-2,environmental,2022-06-09,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hulimavu",12.8718 N 77.6022 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055956,SRX19009501
SRR23055955,wastewater,SARS-CoV-2,environmental,2022-06-09,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kadabeesanahalli Ph-I",12.9394 N 77.6952 E,viral single amplified genome (vSAG),ultracentrifugation,500000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055955,SRX19009502
SRR23055953,wastewater,SARS-CoV-2,environmental,2022-06-09,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055953,SRX19009504
SRR23055957,wastewater,SARS-CoV-2,environmental,2022-06-09,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Sarakki",12.8994 N 77.5799 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055957,SRX19009500
SRR23055959,wastewater,SARS-CoV-2,environmental,2022-06-08,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 2 (60MLD)",12.940295 N 77.65492 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055959,SRX19009498
SRR23055960,wastewater,SARS-CoV-2,environmental,2022-06-08,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 1 (248MLD)",12.942076 N 77.654299 E,viral single amplified genome (vSAG),ultracentrifugation,2480000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055960,SRX19009497
SRR23055961,wastewater,SARS-CoV-2,environmental,2022-06-08,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K R Puram",13.0170 N 77.7044 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055961,SRX19009496
SRR23055962,wastewater,SARS-CoV-2,environmental,2022-06-08,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yele Mallappa Chetti Kere",13.021769 N 77.719837 E,viral single amplified genome (vSAG),ultracentrifugation,150000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055962,SRX19009495
SRR23055958,wastewater,SARS-CoV-2,environmental,2022-06-08,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Agaram",12.9580 N 77.6308 E,viral single amplified genome (vSAG),ultracentrifugation,350000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055958,SRX19009499
SRR23055963,wastewater,SARS-CoV-2,environmental,2022-06-07,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055963,SRX19009494
SRR23055966,wastewater,SARS-CoV-2,environmental,2022-06-07,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055966,SRX19009491
SRR23055964,wastewater,SARS-CoV-2,environmental,2022-06-07,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055964,SRX19009493
SRR23055968,wastewater,SARS-CoV-2,environmental,2022-06-06,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabanavara",13.3959 N 76.1914 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055968,SRX19009489
