,collection_date,collection_time,geo_loc_name,isolation_source,collection_site_id,project_name,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_flow,instantaneous_flow,ww_population,ww_sample_matrix,ww_sample_type,collection_volume,ww_sample_duration,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,concentration_method,extraction_method,extraction_control,ww_surv_target_1,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,sequenced_by,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,sequence_submitter_contact_email,experiment_id,SRA_id,raw_sequence_data_processing_method,sample_name,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_processing_protocol,ww_surv_target_2_protocol
SRR25764397,2023-08-17,12:00,USA: Washington,wastewater,WA002402,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,9.68,See ww_flow,117072,raw wastewater,composite,50 mL,6,7.78,Not Collected,6,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,5266719,Copies/L,N gene (N1),SARS-CoV-2,5905782,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764397,SRX21487068,,,,,,,,,,,,
SRR25764395,2023-08-17,8:42,USA: Washington,wastewater,WA0024627,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,2.79,See ww_flow,33000,raw wastewater,composite,50 mL,5,3.6,Not Collected,6.9,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,1327478,Copies/L,N gene (N1),SARS-CoV-2,1999209,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764395,SRX21487070,,,,,,,,,,,,
SRR25764398,2023-08-17,12:00,USA: Washington,wastewater,WA0023949,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,3.2,See ww_flow,35550,raw wastewater,composite,50 mL,Not Collected,4.5,Not Collected,50,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,21989733,Copies/L,N gene (N1),SARS-CoV-2,22620990,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764398,SRX21487067,,,,,,,,,,,,
SRR25764394,2023-08-17,10:00,USA: Washington,wastewater,WA0051063,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,0.8886,See ww_flow,15000,raw wastewater,composite,50 mL,Not Collected,10.1,Not Collected,1,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,6240044,Copies/L,N gene (N1),SARS-CoV-2,6311088,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764394,SRX21487071,,,,,,,,,,,,
SRR25764396,2023-08-16,23:59,USA: Washington,wastewater,WA0037061,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,10.39,See ww_flow,119790,raw wastewater,composite,50 mL,11:30,3,Not Collected,3,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,9926114,Copies/L,N gene (N1),SARS-CoV-2,11899598,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764396,SRX21487069,,,,,,,,,,,,
SRR25764407,2023-08-16,0:00,USA: Washington,wastewater,WA0024473,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,26.86,See ww_flow,225000,raw wastewater,composite,50 mL,6:30,12.7,7.47,1.4,224,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,3671258,Copies/L,N gene (N1),SARS-CoV-2,3643266,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764407,SRX21487058,,,,,,,,,,,,
SRR25726304,2023-08-15,,USA: Texas,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,9079.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726304,SRX21450490,,,tx,10169.BA,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726410,2023-08-15,,USA: Iowa,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,21000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726410,SRX21450384,,,ia,10830.D,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726292,2023-08-15,,USA: New Mexico,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,13179.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726292,SRX21450502,,,nm,7732.J,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726293,2023-08-15,,USA: Puerto Rico,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,514464.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726293,SRX21450501,,,pr,9429.AI,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726403,2023-08-15,,USA: Arkansas,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,5000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726403,SRX21450391,,,ar,10689.B,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726303,2023-08-15,,USA: Maine,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,21000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726303,SRX21450491,,,me,10908.A,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726357,2023-08-15,,USA: Texas,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,131391.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726357,SRX21450437,,,tx,10169.AY,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726310,2023-08-15,,USA: Texas,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,105158.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726310,SRX21450484,,,tx,10169.AZ,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726336,2023-08-15,,USA: Puerto Rico,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,328816.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726336,SRX21450458,,,pr,9429.AL,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726348,2023-08-15,,USA: Texas,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,22191.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726348,SRX21450446,,,tx,10169.BD,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726339,2023-08-15,,USA: Puerto Rico,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,24254.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726339,SRX21450455,,,pr,9429.AG,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726440,2023-08-15,,USA: Florida,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,200000.0,raw wastewater,composite,,24,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726440,SRX21450354,,,fl,8488.A,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726438,2023-08-15,,USA: Rhode Island,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,240000.0,post grit removal,composite,,23,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726438,SRX21450356,,,ri,10758.C,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726416,2023-08-15,,USA: Rhode Island,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,11000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726416,SRX21450378,,,ri,4687.B,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726424,2023-08-15,,USA: Washington,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,20000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726424,SRX21450454,,,wa,8347.G,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25764408,2023-08-15,7:33,USA: Washington,wastewater,WA0022578,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,1.3,See ww_flow,16150,raw wastewater,composite,50 mL,Not Collected,2.5,Not Collected,20,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,3404183,Copies/L,N gene (N1),SARS-CoV-2,3414963,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764408,SRX21487057,,,,,,,,,,,,
SRR25726241,2023-08-15,,USA: Virginia,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,5000.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726241,SRX21450553,,,va,10916.D,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726234,2023-08-15,,USA: Puerto Rico,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,54564.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726234,SRX21450560,,,pr,9429.AH,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
SRR25726448,2023-08-15,,USA: Vermont,wastewater,,,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,,,7500.0,raw wastewater,grab,,0,,,,,,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,SARS-CoV-2,yes,,,,,,,,,,,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,,,,,SRR25726448,SRX21450346,,,vt,11028.D,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,
