,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,geo_loc_name,isolation_source,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_population,ww_surv_jurisdiction,ww_sample_matrix,ww_sample_type,ww_sample_duration,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,sequenced_by,BioSampleModel,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,isolate,host,env_broad_scale,env_local_scale,env_medium,lat_lon,source_uvig,virus_enrich_appr,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25726348,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726348,SRX21450446,USA: Texas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,22191.0,tx,raw wastewater,grab,0,10169.BD,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GfwdvYirnrh2
SRR25726241,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726241,SRX21450553,USA: Virginia,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,5000.0,va,raw wastewater,grab,0,10916.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WXSbpirvUEFg
SRR25726410,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726410,SRX21450384,USA: Iowa,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,21000.0,ia,raw wastewater,grab,0,10830.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hJtH6gqoL5aG
SRR25726424,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726424,SRX21450454,USA: Washington,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,20000.0,wa,raw wastewater,grab,0,8347.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,8hBsT9wdAkPr
SRR25757717,,,,,,,,,,2023-08-14,,,,,,,,,,GenomeTrakr; LFFM ww project,3PC00027_08142023,,,,,,SRR25757717,SRX21480734,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,3500,oh,raw wastewater,grab,0,3PC00027_08142023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0020931,utility provided information,bcov vaccine,9860.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,1907847.539,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020931
SRR25726238,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726238,SRX21450556,USA: Rhode Island,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,21100.0,ri,raw wastewater,composite,27,10914.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,MLsTffPWe3i7
SRR25726406,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726406,SRX21450388,USA: California,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,220000.0,ca,post grit removal,composite,24,8497.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GwnSGfgfukmH
SRR25726229,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726229,SRX21450565,USA: Alabama,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,72000.0,al,raw wastewater,composite,24,10998.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,AuMcWq8nJydi
SRR25726364,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726364,SRX21450430,USA: New Hampshire,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,43000.0,nh,raw wastewater,composite,24,10774.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,dwEn55eA25j7
SRR25726361,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726361,SRX21450433,USA: Connecticut,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,52265.0,ct,raw wastewater,composite,24,10725.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,TWuX6cE4Dqwv
SRR25726411,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726411,SRX21450383,USA: Wyoming,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,20000.0,wy,raw wastewater,composite,24,10818.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hwknKNGB6AgU
SRR25726244,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726244,SRX21450550,USA: Oklahoma,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,51000.0,ok,post grit removal,composite,24,10768.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,NYdcBQXrqtsn
SRR25757731,,,,,,,,,,2023-08-14,,,,,,,,,,GenomeTrakr; LFFM ww project,1PF00000601_08142023,,,,,,SRR25757731,SRX21480720,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,226729,oh,raw wastewater,composite,24,1PF00000601_08142023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0024881,utility provided information,bcov vaccine,16126.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,152135699.6,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024881
SRR25726242,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726242,SRX21450552,USA: Louisiana,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,99712.0,la,raw wastewater,composite,24,9321.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Urce4hTD3Afq
SRR25726418,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726418,SRX21450376,USA: Virginia,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,16000.0,va,raw wastewater,composite,24,11026.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,FBV3ujtEjZCh
SRR25726314,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726314,SRX21450480,USA: Indiana,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,17612.0,in,raw wastewater,composite,24,10920.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HHjjXhirdcb3
SRR25726330,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726330,SRX21450464,USA: California,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,230000.0,ca,raw wastewater,composite,24,10992.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,KNE6bMKx5cqi
SRR25726294,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726294,SRX21450500,USA: Virginia,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,5300.0,va,raw wastewater,composite,24,10705.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,nFU3hA5XUPnE
SRR25757710,,,,,,,,,,2023-08-14,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00031_08142023,,,,,,SRR25757710,SRX21480741,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,29000,oh,raw wastewater,composite,24,3PD00031_08142023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0025917,utility provided information,bcov vaccine,46526.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12026253.24,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025917
SRR25726386,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726386,SRX21450408,USA: North Dakota,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,25679.0,nd,raw wastewater,composite,1,8619.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,n3nCNGGrFxdD
SRR25726230,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726230,SRX21450564,USA: Vermont,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,10000.0,vt,raw wastewater,composite,24,6964.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,LXVdq2reh48T
SRR25726398,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726398,SRX21450396,USA: Georgia,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,325000.0,ga,post grit removal,grab,0,10854.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,LLXET5bZK9Yd
SRR25726359,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726359,SRX21450435,USA: North Carolina,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,26000.0,nc,raw wastewater,composite,23,10946.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HXwnAoYqUr2h
SRR25726354,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726354,SRX21450440,USA: Pennsylvania,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,10000.0,pa,raw wastewater,composite,24,7705.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HFPAdYZ9KBte
SRR25726401,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726401,SRX21450393,USA: California,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,14276.0,ca,raw wastewater,composite,26,11064.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WHk7Bd5nFoaV
SRR25726449,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726449,SRX21450345,USA: Rhode Island,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,10000.0,ri,raw wastewater,composite,24,10802.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,SLVzq9cjyvuT
