,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id
ERR9862820,2022-06-20,2022-06-20,SAMEA110150339,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,10_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862820,ERX9407898
ERR9862784,2022-06-20,2022-06-20,SAMEA110150303,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,25_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862784,ERX9407862
ERR9862828,2022-06-20,2022-06-20,SAMEA110150347,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,05_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862828,ERX9407906
ERR9862810,2022-06-20,2022-06-20,SAMEA110150329,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,10_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862810,ERX9407888
ERR9862792,2022-06-20,2022-06-20,SAMEA110150311,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,17_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862792,ERX9407870
ERR9862818,2022-06-20,2022-06-20,SAMEA110150337,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,05_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862818,ERX9407896
ERR9862782,2022-06-20,2022-06-20,SAMEA110150301,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,19_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862782,ERX9407860
ERR9862855,2022-06-20,2022-06-20,SAMEA110150374,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,25_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862855,ERX9407933
ERR9862802,2022-06-20,2022-06-20,SAMEA110150321,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_05_09,2021-05-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862802,ERX9407880
ERR9862808,2022-06-20,2022-06-20,SAMEA110150327,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862808,ERX9407886
ERR9862800,2022-06-20,2022-06-20,SAMEA110150319,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,10_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862800,ERX9407878
ERR9862790,2022-06-20,2022-06-20,SAMEA110150309,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,12_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862790,ERX9407868
ERR9862780,2022-06-20,2022-06-20,SAMEA110150299,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,17_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862780,ERX9407858
ERR9862845,2022-06-20,2022-06-20,SAMEA110150364,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,25_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862845,ERX9407923
ERR9862853,2022-06-20,2022-06-20,SAMEA110150372,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_05_08,2021-05-08,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862853,ERX9407931
ERR9862778,2022-06-20,2022-06-20,SAMEA110150297,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,12_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862778,ERX9407856
ERR9862836,2022-06-20,2022-06-20,SAMEA110150355,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,25_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862836,ERX9407914
ERR9862798,2022-06-20,2022-06-20,SAMEA110150317,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862798,ERX9407876
ERR9862843,2022-06-20,2022-06-20,SAMEA110150362,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862843,ERX9407921
ERR9862851,2022-06-20,2022-06-20,SAMEA110150370,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,17_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862851,ERX9407929
ERR9862788,2022-06-20,2022-06-20,SAMEA110150307,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,10_2021_05_07,2021-05-07,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862788,ERX9407866
ERR9862834,2022-06-20,2022-06-20,SAMEA110150353,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862834,ERX9407912
ERR9862841,2022-06-20,2022-06-20,SAMEA110150360,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,17_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862841,ERX9407919
ERR9862849,2022-06-20,2022-06-20,SAMEA110150368,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,12_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862849,ERX9407927
ERR9862786,2022-06-20,2022-06-20,SAMEA110150305,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,05_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862786,ERX9407864
ERR9862826,2022-06-20,2022-06-20,SAMEA110150345,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,25_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862826,ERX9407904
ERR9862776,2022-06-20,2022-06-20,SAMEA110150295,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,10_2021_05_06,2021-05-06,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862776,ERX9407854
ERR9862824,2022-06-20,2022-06-20,SAMEA110150343,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862824,ERX9407902
ERR9862774,2022-06-20,2022-06-20,SAMEA110150293,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,05_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862774,ERX9407852
ERR9862839,2022-06-20,2022-06-20,SAMEA110150358,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862839,ERX9407917
ERR9862816,2022-06-20,2022-06-20,SAMEA110150335,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,25_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862816,ERX9407894
ERR9862832,2022-06-20,2022-06-20,SAMEA110150351,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,17_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862832,ERX9407910
ERR9862847,2022-06-20,2022-06-20,SAMEA110150366,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,10_2021_05_05,2021-05-05,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862847,ERX9407925
ERR9862519,2022-06-20,2022-06-20,SAMEA110150038,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,12_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862519,ERX9407597
ERR9862600,2022-06-20,2022-06-20,SAMEA110150119,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862600,ERX9407678
ERR9862371,2022-06-20,2022-06-20,SAMEA110149890,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,05_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862371,ERX9407449
ERR9862686,2022-06-20,2022-06-20,SAMEA110150205,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862686,ERX9407764
ERR9862772,2022-06-20,2023-03-08,SAMEA110150291,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862772,ERX9407850
ERR9862446,2022-06-20,2022-06-20,SAMEA110149965,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_05_04,2021-05-04,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862446,ERX9407524
ERR9862518,2022-06-20,2022-06-20,SAMEA110150037,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,12_2021_05_03,2021-05-03,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862518,ERX9407596
ERR9862599,2022-06-20,2022-06-20,SAMEA110150118,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_05_03,2021-05-03,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862599,ERX9407677
ERR9862771,2022-06-20,2022-09-27,SAMEA110150290,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_05_03,2021-05-03,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862771,ERX9407849
ERR9862445,2022-06-20,2022-06-20,SAMEA110149964,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_05_03,2021-05-03,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862445,ERX9407523
